A,quantile,pscore
0,0.0,0.06830104877980157
0,0.01,0.09845677949196265
0,0.05,0.11707580337204367
0,0.1,0.13508400971218681
0,0.25,0.17064853684436032
0,0.5,0.20670008460514272
0,0.75,0.2810224621733457
0,0.9,0.4889900786196548
0,0.95,0.6443521661857363
0,0.99,0.9190723598023398
0,1.0,0.9999780080883235
1,0.0,0.09726632767977533
1,0.01,0.14682425238878835
1,0.05,0.19219636872301502
1,0.1,0.22231525160332022
1,0.25,0.2773125100258545
1,0.5,0.3892738741421624
1,0.75,0.5891864494185715
1,0.9,0.7548487809662192
1,0.95,0.8749152001858937
1,0.99,0.9720938043682307
1,1.0,0.9999835738608366
