model,target,horizon,mae,rmse,mape,wape,n
seasonal_naive_7,inpatient_beds_used,1,166.8377659574468,279.35889274810427,2.557779844654347,1.7899280559117474,376
naive_last,inpatient_beds_used,1,208.4468085106383,377.93520073876,2.398664627298482,2.236332934436548,376
ewma_opt,inpatient_beds_used,1,224.97803128339828,398.91850399228053,2.594556982242181,2.4136890580317143,376
rolling_mean_7,inpatient_beds_used,1,375.738981762918,596.3135171501619,4.396410392601548,4.031136123752082,376
naive_last,inpatient_beds_used,7,146.5372340425532,252.93337572015182,2.7317016850891367,1.5445926921013222,376
seasonal_naive_7,inpatient_beds_used,7,146.5372340425532,252.93337572015182,2.7317016850891367,1.5445926921013222,376
ewma_opt,inpatient_beds_used,7,148.18812628542057,257.56736609073204,2.747800899595582,1.5619941130469313,376
rolling_mean_7,inpatient_beds_used,7,239.1379179331307,380.00012390872575,3.675719867483556,2.5206609286522856,376
naive_last,inpatient_beds_used,14,204.51063829787233,363.1719157995727,3.6113380711308722,2.167917771591639,376
seasonal_naive_7,inpatient_beds_used,14,204.51063829787233,363.1719157995727,3.6113380711308722,2.167917771591639,376
ewma_opt,inpatient_beds_used,14,208.97591978222664,372.8185373608318,3.6154506406608333,2.2152520480168643,376
rolling_mean_7,inpatient_beds_used,14,293.95478723404256,486.82111948572435,4.370252793740913,3.116071675258909,376
seasonal_naive_7,staffed_adult_icu_bed_occupancy,1,22.295212765957448,34.97502908611325,6.097037222864075,2.297581003228618,376
naive_last,staffed_adult_icu_bed_occupancy,1,29.861702127659573,50.71646255870065,4.255536706287063,3.0773278664262103,376
ewma_opt,staffed_adult_icu_bed_occupancy,1,31.097870423406274,52.664625752427796,4.520876682540793,3.2047182987542575,376
rolling_mean_7,staffed_adult_icu_bed_occupancy,1,42.53457446808511,67.95667592246998,6.466279689728312,4.383301083697398,376
ewma_opt,staffed_adult_icu_bed_occupancy,7,23.063582677576466,34.14387825554402,5.33034369389133,2.325257166429478,376
naive_last,staffed_adult_icu_bed_occupancy,7,22.861702127659573,34.17803823908476,5.21403213184662,2.3049036852717837,376
seasonal_naive_7,staffed_adult_icu_bed_occupancy,7,22.861702127659573,34.17803823908476,5.21403213184662,2.3049036852717837,376
rolling_mean_7,staffed_adult_icu_bed_occupancy,7,27.52317629179331,42.40106041141138,5.531929959536498,2.7748708346867854,376
naive_last,staffed_adult_icu_bed_occupancy,14,28.86436170212766,46.44491704319145,5.7538291888285285,2.9335524555290964,376
seasonal_naive_7,staffed_adult_icu_bed_occupancy,14,28.86436170212766,46.44491704319145,5.7538291888285285,2.9335524555290964,376
ewma_opt,staffed_adult_icu_bed_occupancy,14,29.15120171172898,46.84919499849111,5.7427479064781055,2.9627046752522825,376
rolling_mean_7,staffed_adult_icu_bed_occupancy,14,34.680851063829785,56.59319988793911,6.1528783239568545,3.524695846318936,376
