model,target,horizon,metric,value,baseline_model,baseline_value,improvement,improvement_pct
gbrt_lag,inpatient_beds_used,1,rmse,178.12433794406388,seasonal_naive_7,279.35889274810427,101.23455480404039,36.2381715535087
ridge_fourier,inpatient_beds_used,1,rmse,287.30311865070036,seasonal_naive_7,279.35889274810427,-7.944225902596088,-2.843734747244769
gbrt_lag,inpatient_beds_used,1,wape,1.154167655619492,seasonal_naive_7,1.7899280559117474,0.6357604002922554,35.51876837688954
ridge_fourier,inpatient_beds_used,1,wape,1.7085563257105565,seasonal_naive_7,1.7899280559117474,0.08137173020119093,4.546089432613652
gbrt_lag,inpatient_beds_used,7,rmse,261.2204541151667,naive_last,252.93337572015182,-8.287078395014902,-3.276387851709935
ridge_fourier,inpatient_beds_used,7,rmse,257.9407801420079,naive_last,252.93337572015182,-5.00740442185608,-1.9797325709187252
gbrt_lag,inpatient_beds_used,7,wape,1.7122606464022063,naive_last,1.5445926921013222,-0.1676679543008841,-10.855156518498237
ridge_fourier,inpatient_beds_used,7,wape,1.7682695554777887,naive_last,1.5445926921013222,-0.22367686337646653,-14.481284582032309
gbrt_lag,inpatient_beds_used,14,rmse,339.87333027754266,naive_last,363.1719157995727,23.29858552203001,6.415304848320935
ridge_fourier,inpatient_beds_used,14,rmse,374.51124286816116,naive_last,363.1719157995727,-11.339327068588489,-3.1223028475710763
gbrt_lag,inpatient_beds_used,14,wape,2.1504762836380475,naive_last,2.167917771591639,0.017441487953591572,0.8045271911206486
ridge_fourier,inpatient_beds_used,14,wape,2.583981780544335,naive_last,2.167917771591639,-0.4160640089526959,-19.191872238181364
gbrt_lag,staffed_adult_icu_bed_occupancy,1,rmse,24.50948498812724,seasonal_naive_7,34.97502908611325,10.465544097986012,29.92290320107648
ridge_fourier,staffed_adult_icu_bed_occupancy,1,rmse,43.961597071274696,seasonal_naive_7,34.97502908611325,-8.986567985161443,-25.694240205019693
gbrt_lag,staffed_adult_icu_bed_occupancy,1,wape,1.582430612526975,seasonal_naive_7,2.297581003228618,0.715150390701643,31.126231880255624
ridge_fourier,staffed_adult_icu_bed_occupancy,1,wape,3.124160101189078,seasonal_naive_7,2.297581003228618,-0.8265790979604599,-35.97605902899312
gbrt_lag,staffed_adult_icu_bed_occupancy,7,rmse,32.41024919997129,ewma_opt,34.14387825554402,1.7336290555727274,5.077422788933575
ridge_fourier,staffed_adult_icu_bed_occupancy,7,rmse,36.66525216868446,ewma_opt,34.14387825554402,-2.521373913140444,-7.384556301043636
gbrt_lag,staffed_adult_icu_bed_occupancy,7,wape,2.207531589621273,ewma_opt,2.325257166429478,0.11772557680820483,5.062905665138837
ridge_fourier,staffed_adult_icu_bed_occupancy,7,wape,2.7216426824165056,ewma_opt,2.325257166429478,-0.39638551598702776,-17.046953847074604
gbrt_lag,staffed_adult_icu_bed_occupancy,14,rmse,41.5098403447549,naive_last,46.44491704319145,4.9350766984365535,10.62565510418972
ridge_fourier,staffed_adult_icu_bed_occupancy,14,rmse,54.0412112189662,naive_last,46.44491704319145,-7.596294175774744,-16.35549088980086
gbrt_lag,staffed_adult_icu_bed_occupancy,14,wape,2.529502681206713,naive_last,2.9335524555290964,0.4040497743223832,13.773395241691993
ridge_fourier,staffed_adult_icu_bed_occupancy,14,wape,3.8319489488667617,naive_last,2.9335524555290964,-0.8983964933376654,-30.624865481589975
