model,state,cutoff_ds,ds,horizon,q,yhat,y,method,target
hgb_quantile,AK,2024-02-24,2024-02-25,1,0.1,899.6730623453111,951.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,AK,2024-02-24,2024-02-25,1,0.5,952.8222926623989,951.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,AK,2024-02-24,2024-02-25,1,0.9,980.502705156953,951.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,AL,2024-02-24,2024-02-25,1,0.1,9723.86371178169,10049.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,AL,2024-02-24,2024-02-25,1,0.5,9858.61204959241,10049.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,AL,2024-02-24,2024-02-25,1,0.9,9913.867568368507,10049.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,AS,2024-02-24,2024-02-25,1,0.1,83.5745977745013,97.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,AS,2024-02-24,2024-02-25,1,0.5,93.40320292964549,97.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,AS,2024-02-24,2024-02-25,1,0.9,101.77741328978551,97.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,AZ,2024-02-24,2024-02-25,1,0.1,11014.864544664048,11409.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,AZ,2024-02-24,2024-02-25,1,0.5,11240.733575564207,11409.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,AZ,2024-02-24,2024-02-25,1,0.9,11652.203454617413,11409.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,CO,2024-02-24,2024-02-25,1,0.1,6625.663611001071,6972.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,CO,2024-02-24,2024-02-25,1,0.5,6686.452921001477,6972.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,CO,2024-02-24,2024-02-25,1,0.9,6865.007706450508,6972.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,CT,2024-02-24,2024-02-25,1,0.1,5676.616617931874,5813.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,CT,2024-02-24,2024-02-25,1,0.5,5605.898978910199,5813.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,CT,2024-02-24,2024-02-25,1,0.9,5741.854448964456,5813.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,DC,2024-02-24,2024-02-25,1,0.1,2189.3130613832745,2378.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,DC,2024-02-24,2024-02-25,1,0.5,2334.3913011921595,2378.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,DC,2024-02-24,2024-02-25,1,0.9,2395.087994369258,2378.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,DE,2024-02-24,2024-02-25,1,0.1,2005.8727472000894,2067.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,DE,2024-02-24,2024-02-25,1,0.5,2028.1068520644683,2067.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,DE,2024-02-24,2024-02-25,1,0.9,2042.9246334001684,2067.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,FL,2024-02-24,2024-02-25,1,0.1,41207.45323790893,41848.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,FL,2024-02-24,2024-02-25,1,0.5,41962.0905603718,41848.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,FL,2024-02-24,2024-02-25,1,0.9,42822.63913084367,41848.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,GA,2024-02-24,2024-02-25,1,0.1,16061.847143258232,16510.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,GA,2024-02-24,2024-02-25,1,0.5,16136.407031133731,16510.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,GA,2024-02-24,2024-02-25,1,0.9,16429.59702212193,16510.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,HI,2024-02-24,2024-02-25,1,0.1,1846.561207471434,1929.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,HI,2024-02-24,2024-02-25,1,0.5,1922.9615288983496,1929.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,HI,2024-02-24,2024-02-25,1,0.9,1942.9086336375187,1929.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,IA,2024-02-24,2024-02-25,1,0.1,4276.997279745258,4476.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,IA,2024-02-24,2024-02-25,1,0.5,4483.401832098491,4476.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,IA,2024-02-24,2024-02-25,1,0.9,4524.16216948163,4476.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,ID,2024-02-24,2024-02-25,1,0.1,1892.265565161684,1922.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,ID,2024-02-24,2024-02-25,1,0.5,1920.3250882244454,1922.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,ID,2024-02-24,2024-02-25,1,0.9,1977.0149042410812,1922.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,IL,2024-02-24,2024-02-25,1,0.1,18971.401256128196,19161.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,IL,2024-02-24,2024-02-25,1,0.5,19167.798702805132,19161.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,IL,2024-02-24,2024-02-25,1,0.9,19505.621127197348,19161.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,IN,2024-02-24,2024-02-25,1,0.1,10040.275302239355,10335.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,IN,2024-02-24,2024-02-25,1,0.5,10048.57892855076,10335.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,IN,2024-02-24,2024-02-25,1,0.9,10318.937842251124,10335.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,KS,2024-02-24,2024-02-25,1,0.1,4347.1004022163515,4312.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,KS,2024-02-24,2024-02-25,1,0.5,4469.551587428845,4312.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,KS,2024-02-24,2024-02-25,1,0.9,4582.4040943739055,4312.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,KY,2024-02-24,2024-02-25,1,0.1,8616.491596135724,8802.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,KY,2024-02-24,2024-02-25,1,0.5,8842.669877522234,8802.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,KY,2024-02-24,2024-02-25,1,0.9,8957.456343365266,8802.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,MA,2024-02-24,2024-02-25,1,0.1,13958.727967850975,13924.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,MA,2024-02-24,2024-02-25,1,0.5,14004.688287911224,13924.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,MA,2024-02-24,2024-02-25,1,0.9,13957.651869153588,13924.0,gbrt_quantile,inpatient_beds_used
hgb_quantile,MD,2024-02-24,2024-02-25,1,0.1,8035.381577455926,8375.0,gbrt_quantile,inpatient_beds_used
