method,target,horizon,period,mae,rmse,mape,wape,n,coverage
gbrt_quantile,inpatient_beds_used,1,early,107.01069098435217,166.18173470463918,1.5642326550280021,1.133527151002116,188,0.7712765957446809
gbrt_quantile,inpatient_beds_used,1,late,117.59462181971568,216.5629784646207,1.6367908834736822,1.2780169449337861,188,0.776595744680851
naive_conformal,inpatient_beds_used,7,early,139.9255319148936,251.51511100494497,2.1166507680763305,1.460332968795972,188,0.9148936170212766
naive_conformal,inpatient_beds_used,7,late,153.14893617021278,254.34373206853988,3.3467526021019434,1.6305505090090295,188,0.8457446808510638
gbrt_quantile,inpatient_beds_used,14,early,191.35442896242756,319.9384656453025,2.932053537864345,2.012390108669414,188,0.6808510638297872
gbrt_quantile,inpatient_beds_used,14,late,202.76720964117567,345.2368656755331,3.9900541473915156,2.1667337606831776,188,0.675531914893617
gbrt_quantile,staffed_adult_icu_bed_occupancy,1,early,17.47281534782376,28.008570673677024,4.2725560362236035,1.7774605457506532,188,0.7553191489361702
gbrt_quantile,staffed_adult_icu_bed_occupancy,1,late,17.691187993773386,27.988741299154277,3.214947761534428,1.8471921439287085,188,0.7819148936170213
gbrt_quantile,staffed_adult_icu_bed_occupancy,7,early,20.189746090512784,29.124896816958238,5.291181644480873,2.015361965527965,188,0.7393617021276596
gbrt_quantile,staffed_adult_icu_bed_occupancy,7,late,22.303442001838288,34.41841336024135,4.83959665183916,2.271337000409301,188,0.7393617021276596
gbrt_quantile,staffed_adult_icu_bed_occupancy,14,early,23.88263051647988,35.93348595492609,5.2761435918539945,2.404107140729712,188,0.6914893617021277
gbrt_quantile,staffed_adult_icu_bed_occupancy,14,late,28.65695201476521,49.69008480762899,5.431535025293653,2.9407789185457744,188,0.7180851063829787
