state,is_eligible,fail_rules
AK,1,
AL,1,
AS,1,
AZ,1,
CO,1,
CT,1,
DC,1,
DE,1,
FL,1,
GA,1,
HI,1,
IA,1,
ID,1,
IL,1,
IN,1,
KS,1,
KY,1,
MA,1,
MD,1,
ME,1,
MI,1,
MN,1,
MO,1,
MS,1,
MT,1,
NC,1,
ND,1,
NE,1,
NH,1,
NJ,1,
NM,1,
NY,1,
OH,1,
OK,1,
OR,1,
PA,1,
RI,1,
SC,1,
SD,1,
TN,1,
TX,1,
VA,1,
VI,1,
VT,1,
WA,1,
WI,1,
WY,1,
AR,0,max_missing_run_exceeded
CA,0,max_missing_run_exceeded
LA,0,max_missing_run_exceeded
NV,0,max_missing_run_exceeded
PR,0,max_missing_run_exceeded
UT,0,max_missing_run_exceeded
WV,0,max_missing_run_exceeded
