method,model,target,horizon,q,pinball,n
gbrt_quantile,hgb_quantile,inpatient_beds_used,1,0.1,27.636233851079695,376
gbrt_quantile,hgb_quantile,inpatient_beds_used,1,0.5,56.151328201016966,376
gbrt_quantile,hgb_quantile,inpatient_beds_used,1,0.9,24.532471175509887,376
naive_conformal,naive_last,inpatient_beds_used,7,0.1,51.41409574468085,376
naive_conformal,naive_last,inpatient_beds_used,7,0.5,73.2686170212766,376
naive_conformal,naive_last,inpatient_beds_used,7,0.9,47.37739361702126,376
gbrt_quantile,hgb_quantile,inpatient_beds_used,14,0.1,51.659634162322504,376
gbrt_quantile,hgb_quantile,inpatient_beds_used,14,0.5,98.53040965090082,376
gbrt_quantile,hgb_quantile,inpatient_beds_used,14,0.9,40.87681261768638,376
gbrt_quantile,hgb_quantile,staffed_adult_icu_bed_occupancy,1,0.1,3.867079239937037,376
gbrt_quantile,hgb_quantile,staffed_adult_icu_bed_occupancy,1,0.5,8.791000835399286,376
gbrt_quantile,hgb_quantile,staffed_adult_icu_bed_occupancy,1,0.9,3.6262388088322473,376
gbrt_quantile,hgb_quantile,staffed_adult_icu_bed_occupancy,7,0.1,4.779893987482901,376
gbrt_quantile,hgb_quantile,staffed_adult_icu_bed_occupancy,7,0.5,10.623297023087769,376
gbrt_quantile,hgb_quantile,staffed_adult_icu_bed_occupancy,7,0.9,5.016769539294466,376
gbrt_quantile,hgb_quantile,staffed_adult_icu_bed_occupancy,14,0.1,6.773377711271097,376
gbrt_quantile,hgb_quantile,staffed_adult_icu_bed_occupancy,14,0.5,13.13489563281127,376
gbrt_quantile,hgb_quantile,staffed_adult_icu_bed_occupancy,14,0.9,5.641082058319398,376
