metric,value
best_model:inpatient_beds_used@h1,gbrt_lag
rmse:inpatient_beds_used@h1,178.12433794406388
mae:inpatient_beds_used@h1,107.57904630184422
best_model:inpatient_beds_used@h7,ridge_fourier
rmse:inpatient_beds_used@h7,257.9407801420079
mae:inpatient_beds_used@h7,167.75770792289404
best_model:inpatient_beds_used@h14,gbrt_lag
rmse:inpatient_beds_used@h14,339.87333027754266
mae:inpatient_beds_used@h14,202.8652946040316
best_model:staffed_adult_icu_bed_occupancy@h1,gbrt_lag
rmse:staffed_adult_icu_bed_occupancy@h1,24.50948498812724
mae:staffed_adult_icu_bed_occupancy@h1,15.35555314222918
best_model:staffed_adult_icu_bed_occupancy@h7,gbrt_lag
rmse:staffed_adult_icu_bed_occupancy@h7,32.41024919997129
mae:staffed_adult_icu_bed_occupancy@h7,21.89589524360947
best_model:staffed_adult_icu_bed_occupancy@h14,gbrt_lag
rmse:staffed_adult_icu_bed_occupancy@h14,41.5098403447549
mae:staffed_adult_icu_bed_occupancy@h14,24.888759080902044
total_cost,10.0
